timestamp,instance_id,region,service,log_level,cpu_usage_percent,memory_usage_percent,request_latency_ms,processing_status,request_id
2026-01-24 04:24:20,i-8d25dc0c,eu-west-1,payment-service,WARN,22.39,72.42,654.23,RETRY,8c09b29e-2c15-4a31-ac89-6c83994a9d75
2026-01-18 21:54:39,i-a0c2be9a,us-east-1,data-processor,INFO,14.71,42.15,567.56,SUCCESS,bed363f1-8acc-4f2d-bf5f-44dced21db64
2026-01-25 06:31:48,i-d7b249dc,eu-west-1,payment-service,WARN,84.17,48.76,363.93,SUCCESS,0f7dee69-511a-4105-a761-e58f6775fda3
2026-01-18 15:45:00,i-e3d2055f,us-west-2,payment-service,ERROR,22.55,33.75,389.39,SUCCESS,1c5e619f-c65e-4c72-b62e-92baccc98b34
2026-01-23 07:51:48,i-c292f604,us-west-2,auth-service,INFO,70.13,75.51,174.38,SUCCESS,0117eafb-23ba-4c76-8e68-0cf0f67681d5
2026-01-14 02:37:13,i-a0c2be9a,eu-west-1,user-service,INFO,47.3,63.75,217.56,SUCCESS,802380ea-a871-4640-8a57-4a61097d0e18
2026-01-15 19:27:49,i-24d39cb1,us-east-1,api-gateway,INFO,46.42,68.85,96.02,RETRY,b779b0f9-eca2-42ae-87fe-a0c56d446ef7
2026-01-07 22:23:51,i-ba94833f,us-west-2,api-gateway,INFO,29.55,68.86,134.84,SUCCESS,0e817aec-574a-41b7-98be-c04d4d7271d4
2026-01-10 18:26:42,i-f5214d64,ap-southeast-1,auth-service,DEBUG,43.13,30.24,348.64,SUCCESS,591cd2d3-4bbd-4031-81c2-5c39440aa351
2026-01-02 02:15:27,i-c292f604,eu-west-1,data-processor,WARN,28.13,87.53,599.94,SUCCESS,eabb1fd0-2db2-4aee-b922-07f39da09afe
2026-01-25 02:37:54,i-ce5bd7ec,us-west-2,auth-service,INFO,58.66,40.93,241.61,FAILED,66f62b48-2615-4eaf-a9ee-18ecb320e58e
2026-01-08 16:29:16,i-5e63b6f2,ap-southeast-1,payment-service,INFO,48.06,43.76,656.88,SUCCESS,56c15bdd-dbcc-4abd-a189-b15941e65505
2026-01-20 10:18:04,i-ba94833f,us-west-2,auth-service,INFO,83.09,42.1,753.78,SUCCESS,a12cbab9-341b-4e41-a760-b5d03b1ec367
2026-01-03 01:26:44,i-a0c2be9a,ap-southeast-1,api-gateway,INFO,64.28,46.1,69.68,FAILED,a510a506-960a-4995-98f3-5e9d7c33448c
2026-01-05 03:28:43,i-a6e729b4,us-east-1,auth-service,INFO,91.33,41.44,497.98,SUCCESS,d08d1bf8-7e7e-4f7c-bd7f-95398e3e5732
2026-01-24 23:00:05,i-90b0007b,eu-west-1,payment-service,DEBUG,63.79,74.55,691.21,SUCCESS,f0891b71-8fa6-4a54-9fda-d7375718e9db
2026-01-05 04:20:24,i-ce5bd7ec,eu-west-1,api-gateway,INFO,80.26,89.34,604.09,SUCCESS,ba40b409-bcd9-4036-9a73-f7bbe2b0ddbe
2026-01-23 12:59:06,i-e3d2055f,us-east-1,api-gateway,INFO,81.26,62.63,181.83,FAILED,387c3aa7-3ed1-455e-9ded-d16332aa2c4b
2026-01-03 17:17:46,i-f8984641,us-west-2,api-gateway,WARN,47.46,55.14,795.13,SUCCESS,44912d4f-54dd-46eb-85c1-364d22033728
2026-01-13 12:13:48,i-a6e729b4,eu-west-1,data-processor,INFO,72.2,47.16,461.72,SUCCESS,17806749-b4e1-4a8b-bb79-86c3952d45f9
